#Se consideran los datos recogidos sobre 32 cráneos en el Tibet
#Longitud;  Anchura;  Altura;  Altura Cara;  Anchura Cara;  Tipo
1;190.50;152.50;145.00;73.50;136.50;1
2;172.50;132.00;125.50;63.00;121.00;1
3;167.00;130.00;125.50;69.50;119.50;1
4;169.50;150.50   ;133.50;64.50;128.00;1
5;175.00;138.50   ;126.00;77.50;135.50;1
6;177.50;142.50   ;142.50;71.50;131.00;1
7;179.50;142.50   ;127.50;70.50;134.50;1
8;179.50;138.00   ;133.50;73.50;132.50;1
9;173.50;135.50   ;130.50;70.00;133.50;1
10;162.50;139.00   ;131.00;62.00;126.00;1
11    ;178.50;135.00   ;136.00;71.00;124.00;1
12    ;171.50;148.50   ;132.50;65.00;146.50;1
13    ;180.50;139.00   ;132.00;74.50;134.50;1
14    ;183.00;149.00   ;121.50;76.50;142.00;1
15    ;169.50;130.00   ;131.00;68.00;119.00;1
16    ;172.00;140.00   ;136.00;70.50;133.50;1
17    ;170.00;126.50   ;134.50;66.00;118.50;1
18    ;182.50;136.00   ;138.50;76.00;134.00;2
19    ;179.50;135.00   ;128.50;74.00;132.00;2
20    ;191.00;140.50   ;140.50;72.50;131.50;2
21    ;184.50;141.50   ;134.50;76.50;141.50;2
22    ;181.00;142.00   ;132.50;79.00;136.50;2
23    ;173.50;136.50   ;126.00;71.50;136.50;2
24    ;188.50;130.00   ;143.00;79.50;136.00;2
25    ;175.00;153.00   ;130.00;76.50;142.00;2
26    ;196.00;142.50   ;123.50;76.00;134.00;2
27    ;200.00;139.50   ;143.50;82.50;146.00;2
28    ;185.00;134.50   ;140.00;81.50;137.00;2
29    ;174.50;143.50   ;132.50;74.00;136.50;2
30    ;195.50;144.00   ;138.50;78.50;144.00;2
31    ;197.00;131.50   ;135.00;80.50;139.00;2
32    ;182.50;131.00   ;135.00;68.50;136.00;2


#se revisan los datos bien clasificados y los mal clasificados

#craneo A
# 171,140.5,127.0,69.5,137.0

#craneo B
# 179.0,132.0,140.0,72.0,138.5

#Prediccion
#A
#B

